grid_id,hotspot_2020,hotspot_2021,hotspot_2022,hotspot_2023,hotspot_2024,hotspot_years,hotspot_proportion,persistence_score,persistence_category,longest_hotspot_run,early_hotspot_years,late_hotspot_years,early_hotspot_rate,late_hotspot_rate,hotspot_change_score,collision_count_2020,collision_count_2021,collision_count_2022,collision_count_2023,collision_count_2024,early_mean_collision_count,late_mean_collision_count,collision_count_change,pattern_category
R003_C016,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,14,11,7,8,7,12.5,7.5,-5.0,Never hotspot
R003_C018,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,1,3,3,3,1.0,3.0,2.0,Never hotspot
R003_C019,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,11,9,13,8,10,10.0,9.0,-1.0,Never hotspot
R003_C020,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,9,14,13,11,15,11.5,13.0,1.5,Never hotspot
R003_C021,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,0,3,0,1,1.0,0.5,-0.5,Never hotspot
R003_C022,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,0,1,2,2,1.0,2.0,1.0,Never hotspot
R004_C014,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,3,3,6,2,12,3.0,7.0,4.0,Never hotspot
R004_C015,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,5,5,5,3,2,5.0,2.5,-2.5,Never hotspot
R004_C016,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,27,24,26,20,22,25.5,21.0,-4.5,Never hotspot
R004_C017,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,6,8,10,9,14,7.0,11.5,4.5,Never hotspot
R004_C018,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,5,2,3,4,3,3.5,3.5,0.0,Never hotspot
R004_C019,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,7,3,3,3,10,5.0,6.5,1.5,Never hotspot
R004_C020,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,4,2,2,3,3.0,2.5,-0.5,Never hotspot
